Date,Region,Place,Trigger,Depth(m),Width (m),Vertical (m),Aspect,Elevation (m),Latitude,Longitude,Longitude (ALTERNATE)
01/25/13,Logan,Miller Bowl,Snowmobiler,0.3556,60.9469697,152.3674242,East,2620.719697,41.886864,-111.645899,248.354101
01/24/13,Provo,Provo Canyon,Natural,0.3048,12.18939394,304.7348485,Northwest,1889.356061,40.350469,-111.577106,248.422894
01/24/13,Salt Lake,Bowman Fork,Unknown,unknown,4.571022727,Unknown,North,Unknown,40.692614,-111.702118,248.297882
01/23/13,Salt Lake,White Pine,Skier,unknown,15.23674242,15.23674242,Northwest,2986.401515,40.544402,-111.67403,248.32597
01/23/13,Ogden,Cold Canyon,Snowboarder,0.3048,30.47348485,15.23674242,Northeast,2224.564394,41.37254,-111.937759,248.062241
01/18/13,Salt Lake,Grandview Peak,Natural,0.3048,15.23674242,15.23674242,East,2468.352273,40.858487,-111.74675,248.25325
01/17/13,Salt Lake,Cardiff Fork,,0.1524,6.09469697,45.71022727,East,3108.295455,40.601181,-111.667163,248.332837
01/16/13,Salt Lake,Two Trees,Skier,unknown,Unknown,Unknown,,Unknown,40.593165,-111.657314,248.342686
01/15/13,Salt Lake,Little Superior,Skier,0.762,121.8939394,380.9185606,Southeast,3047.348485,40.592089,-111.666713,248.333287
01/15/13,Provo,Major Evans,Unknown,unknown,Unknown,Unknown,Northeast,3169.242424,40.531806,-111.648173,248.351827
01/13/13,Salt Lake,Cardiac Ridge,Natural,unknown,60.9469697,137.1306818,East,3047.348485,40.603396,-111.664352,248.335648
01/13/13,Salt Lake,West Monitor,Skier,unknown,Unknown,152.3674242,Northeast,2894.981061,40.649485,-111.584916,248.415084
01/12/13,Salt Lake,West Willow,Skier,0.3048,9.142045455,18.28409091,Northeast,2803.560606,40.643364,-111.595044,248.404956
01/12/13,Salt Lake,Mt Aire,Skier,0.4572,30.47348485,213.3143939,Northeast,2407.405303,40.721235,-111.677012,248.322988
01/12/13,Salt Lake,Mt Aire,Skier,0.508,21.33143939,#VALUE!,Northeast,2468.352273,40.718711,-111.678987,248.321013
01/12/13,Salt Lake,West Porter,Skier,0.6096,213.3143939,243.7878788,Northeast,2864.507576,40.668758,-111.723318,248.276682
01/12/13,Salt Lake,Antelope Island,Skier,0.4572,6.09469697,45.71022727,Northeast,Unknown,40.980125,-112.207875,247.792125
01/12/13,Salt Lake,Scotties Bowl,Skier,0.2794,24.37878788,60.9469697,Northwest,2894.981061,40.564449,-111.677012,248.322988
01/12/13,Salt Lake,Butler Fork,Natural,0.6096,91.42045455,243.7878788,Northeast,3138.768939,40.596326,-111.719799,248.280201
01/12/13,Salt Lake,Depth Hoar Bowl,Skier,0.4572,38.09185606,106.657197,Northeast,2834.034091,40.677937,-111.683922,248.316078
01/11/13,Logan,"West side of Cache Valley, above Cutler Reservoir",Natural,unknown,15.23674242,45.71022727,Northeast,1615.094697,41.798959,-112.013168,247.986832
01/11/13,Logan,East Goal Post Area,Natural,0.3048,Unknown,Unknown,Northwest,2742.613636,41.710502,-111.733017,248.266983
01/11/13,Salt Lake,Diving Board,Natural,0.762,91.42045455,380.9185606,East,3138.768939,40.59688,-111.719885,248.280115
01/11/13,Salt Lake,Depth Hoar Bowl,Skier,0.4572,15.23674242,152.3674242,Northeast,2834.034091,40.677058,-111.68272,248.31728
01/09/13,Salt Lake,Lewis Peak,Snowmobiler,0.9144,30.47348485,60.9469697,North,2803.560606,40.854332,-111.479645,248.520355
01/09/13,Ogden,Ogden Canyon,Natural,unknown,Unknown,137.1306818,North,1676.041667,41.237028,-111.902447,248.097553
01/09/13,Logan,Mathews Hollow,Snowmobiler,unknown,Unknown,Unknown,South,2255.037879,41.69179,-111.733489,248.266511
01/09/13,Logan,Providence Canyon,Natural,0.254,12.18939394,91.42045455,South,2072.19697,41.69179,-111.733489,248.266511
01/02/13,Salt Lake,Canyons side country,Skier,0.3048,15.23674242,60.9469697,North,2742.613636,40.681224,-111.595559,248.404441
01/01/13,Skyline,Rolfson,Unknown,0.9144,53.32859848,Unknown,Northeast,3016.875,39.570334,-111.293864,248.706136
01/01/13,Salt Lake,Alta Periphery,Skier,0.3048,12.18939394,30.47348485,Southeast,3169.242424,40.57726,-111.598949,248.401051
12/31/12,Salt Lake,Bonkers,Natural,0.9144,Unknown,Unknown,North,2955.92803,40.602093,-111.724091,248.275909
12/29/12,Ogden,Cutler Ridge,Natural,0.6096,15.23674242,30.47348485,East,2285.511364,41.3742,-111.940491,248.059509
12/28/12,Salt Lake,Lackawaxen,Snowboarder,0.3048,30.47348485,91.42045455,East,3199.715909,40.592301,-111.560529,248.439471
12/28/12,Salt Lake,Gobblers,Skier,0.6096,53.32859848,137.1306818,Northwest,2894.981061,40.668146,-111.689994,248.310006
12/28/12,Salt Lake,Lake Mary Chutes,Skier,0.3556,6.09469697,30.47348485,West,2986.401515,40.588602,-111.595302,248.404698
12/27/12,Provo,Box Elder,Natural,0.762,24.37878788,60.9469697,Northwest,3047.348485,40.492824,-111.700938,248.299062
12/27/12,Skyline,Cove Creek,Natural,0.9144,Unknown,213.3143939,North,3016.875,39.551819,-111.317339,248.682661
12/27/12,Salt Lake,Cinder Chutes,Skier,0.3048,9.142045455,152.3674242,East,2864.507576,40.671102,-111.599936,248.400064
12/27/12,Salt Lake,Days Fork,Skier,0.3556,18.28409091,152.3674242,Northeast,3169.242424,40.604928,-111.642766,248.357234
12/27/12,Provo,Provo Canyon,Natural,0.762,121.8939394,Unknown,Northeast,3169.242424,40.314866,-111.588349,248.411651
12/26/12,Skyline,GE Hill/Skyline Summit,Natural,0.6096,60.9469697,30.47348485,North,2925.454545,39.631341,-111.331329,248.668671
12/23/12,Salt Lake,Reed and Benson Ridge,Unknown,1.3716,10.6657197,45.71022727,West,2955.92803,40.604635,-111.648259,248.351741
12/23/12,Salt Lake,Murdock Peak,Unknown,0.6096,21.33143939,Unknown,North,2864.507576,40.693394,-111.602125,248.397875
12/22/12,Uintas,Whitney Basin,Snowmobiler,0.9144,152.3674242,91.42045455,Northeast,3169.242424,40.838132,-111.014614,248.985386
12/22/12,Uintas,Mill Hollow,Snowmobiler,0.9144,45.71022727,30.47348485,Northeast,2894.981061,40.469698,-111.098557,248.901443
12/21/12,Skyline,Miller Flat,Snowmobiler,1.0668,243.7878788,182.8409091,Northeast,3108.295455,39.571028,-111.285968,248.714032
12/21/12,Salt Lake,Cinder Chutes,Natural,unknown,Unknown,Unknown,East,2864.507576,40.671167,-111.599808,248.400192
12/20/12,Salt Lake,Maybird Gulch,Natural,unknown,Unknown,Unknown,Northeast,3047.348485,40.540026,-111.706538,248.293462
12/20/12,Provo,Provo Canyon,Natural,0.762,30.47348485,914.2045455,East,2986.401515,40.38898,-111.621244,248.378756
12/20/12,Skyline,Big Drift/Skyline Summit,Snowboarder,1.2192,76.18371212,91.42045455,Northeast,2864.507576,39.619045,-111.325922,248.674078
12/20/12,Uintas,Currant Creek,Snowboarder,0.1016,243.7878788,91.42045455,Northeast,Unknown,40.387874,-111.176577,248.823423
12/20/12,Uintas,Whitney Basin,Snowmobiler,1.2192,45.71022727,91.42045455,Northeast,3047.348485,40.872767,-110.97393,249.02607
12/19/12,Salt Lake,Dutch Draw,Snowboarder,0.762,91.42045455,213.3143939,East,2986.401515,40.654564,-111.593585,248.406415
